pdf_image,dicom_image,corners,matches
pdf1_img1.jpg,pydicom1_img1.jpg,"[[23.985502243041992, 120.14490509033203], [49.28738784790039, 297.3838195800781], [56.5758056640625, 350.8833312988281], [51.99213409423828, 314.5028076171875]]",39
pdf1_img1.jpg,pydicom1_img2.jpg,"[[280.76556396484375, 246.39356994628906], [1112.6842041015625, 245.14561462402344], [1111.09326171875, 852.6423950195312], [282.481689453125, 848.8590087890625]]",87
pdf1_img1.jpg,pydicom1_img3.jpg,"[[303.4872741699219, 1004.5667724609375], [302.3916015625, 995.1781616210938], [305.11370849609375, 1002.8707275390625], [298.8152770996094, 1018.238037109375]]",38
pdf1_img1.jpg,pydicom1_img4.jpg,"[[738.0882568359375, 530.5830688476562], [735.7646484375, 511.54522705078125], [750.3595581054688, 528.5262451171875], [729.8739013671875, 525.8582763671875]]",46
pdf1_img1.jpg,pydicom1_img5.jpg,"[[704.4722900390625, 386.3566589355469], [699.029296875, 389.7606506347656], [697.4117431640625, 390.8733825683594], [699.0131225585938, 389.8168029785156]]",50
pdf1_img1.jpg,pydicom1_img6.jpg,"[[280.41558837890625, 986.9013061523438], [274.3363952636719, 981.8344116210938], [236.4278106689453, 965.6631469726562], [273.8818359375, 982.2915649414062]]",45
pdf1_img2.jpg,pydicom1_img1.jpg,"[[51.01859664916992, 308.19293212890625], [168.2999267578125, 3.9632747173309326], [46.62344741821289, 299.412109375], [52.67620086669922, 317.7498779296875]]",49
pdf1_img2.jpg,pydicom1_img2.jpg,"[[418.334228515625, 940.0059204101562], [400.9173278808594, 948.344970703125], [415.5994873046875, 938.3512573242188], [407.3597106933594, 941.182373046875]]",66
pdf1_img2.jpg,pydicom1_img3.jpg,"[[185.4771270751953, 894.11279296875], [188.56495666503906, 893.8356323242188], [186.28273010253906, 894.434814453125], [189.95643615722656, 894.8143920898438]]",62
pdf1_img2.jpg,pydicom1_img4.jpg,"[[890.4734497070312, 436.61883544921875], [888.795166015625, 437.4910583496094], [890.985595703125, 436.2794189453125], [888.8728637695312, 437.5414733886719]]",77
pdf1_img2.jpg,pydicom1_img5.jpg,"[[57.466487884521484, 136.4835968017578], [974.4691162109375, 139.8734130859375], [970.9385375976562, 798.8540649414062], [59.60641860961914, 802.043212890625]]",89
pdf1_img2.jpg,pydicom1_img6.jpg,"[[551.2703247070312, 981.3858642578125], [538.2510986328125, 980.3676147460938], [552.7066040039062, 982.3065185546875], [560.5250854492188, 975.145751953125]]",71
pdf2_img1.jpg,pydicom1_img1.jpg,"[[127.1053466796875, 296.52081298828125], [804.2777099609375, 300.2200012207031], [803.9152221679688, 1141.9129638671875], [128.2982940673828, 1145.324462890625]]",47
pdf2_img1.jpg,pydicom1_img2.jpg,"[[457.0484313964844, 915.3262329101562], [448.03155517578125, 922.8052368164062], [438.2149353027344, 928.7696533203125], [446.0116271972656, 924.6144409179688]]",47
pdf2_img1.jpg,pydicom1_img3.jpg,"[[1045.1546630859375, -14.76675033569336], [587.222412109375, 931.7100219726562], [630.956298828125, 820.063232421875], [543.42529296875, 1009.8201293945312]]",34
pdf2_img1.jpg,pydicom1_img4.jpg,"[[809.458251953125, 668.093017578125], [809.9193725585938, 669.6961059570312], [809.4979858398438, 667.9568481445312], [810.90576171875, 672.8151245117188]]",48
pdf2_img1.jpg,pydicom1_img5.jpg,"[[-7079.529296875, 5760.5791015625], [751.7301025390625, 346.10888671875], [1199.0679931640625, 51.23062515258789], [54.63336181640625, 716.81298828125]]",32
pdf2_img1.jpg,pydicom1_img6.jpg,"[[188.0764617919922, 687.082763671875], [188.26783752441406, 685.6428833007812], [187.27560424804688, 685.3988647460938], [187.78506469726562, 681.1874389648438]]",43
pdf2_img2.jpg,pydicom1_img1.jpg,"[[58.43450927734375, 322.2886962890625], [56.908226013183594, 320.5059509277344], [57.05453109741211, 321.208251953125], [56.66572189331055, 320.4723205566406]]",50
pdf2_img2.jpg,pydicom1_img2.jpg,"[[430.0310363769531, 907.281005859375], [412.6067199707031, 943.711181640625], [417.2287292480469, 933.6754150390625], [412.3602600097656, 944.0172729492188]]",64
pdf2_img2.jpg,pydicom1_img3.jpg,"[[1005.7911376953125, 263.7818603515625], [1982.293212890625, 11901.0771484375], [405.6138916015625, 1010.0822143554688], [521.6019287109375, 581.04345703125]]",64
pdf2_img2.jpg,pydicom1_img4.jpg,"[[35.11466598510742, 146.79635620117188], [1070.30322265625, 148.56715393066406], [1072.3370361328125, 918.0244140625], [30.532272338867188, 916.1500854492188]]",96
pdf2_img2.jpg,pydicom1_img5.jpg,"[[402.86376953125, 662.6538696289062], [384.66156005859375, 675.2734985351562], [399.070068359375, 665.7672729492188], [357.1603088378906, 696.0296020507812]]",63
pdf2_img2.jpg,pydicom1_img6.jpg,"[[271.3911437988281, 833.0208129882812], [268.0202941894531, 836.32373046875], [269.20465087890625, 835.642333984375], [267.2747802734375, 837.4044799804688]]",58
